## NONE

| scancode | row | col | physical label | token byte | decoded name |
| 0x1C | 0x1 | 0xC | ON | 0xFA | tok:0xFA |
| 0x1D | 0x1 | 0xD | STO | 0xEC | tok:0xEC |
| 0x1E | 0x1 | 0xE | LN | 0xBA | tok:0xBA |
| 0x1F | 0x1 | 0xF | LOG | 0x2F | / |
| 0x20 | 0x2 | 0x0 | SQUARE | 0x3A | 0x3A |
| 0x21 | 0x2 | 0x1 | RECIP | 0x3E | 0x3E |
| 0x22 | 0x2 | 0x2 | SIN | 0xF3 | tok:0xF3 |
| 0x23 | 0x2 | 0x3 | COS | 0xF6 | tok:0xF6 |
| 0x24 | 0x2 | 0x4 | TAN | 0xF9 | tok:0xF9 |
| 0x25 | 0x2 | 0x5 | POWER | 0x98 | 0x98 |
| 0x26 | 0x2 | 0x6 | COMMA | 0xB8 | tok:0xB8 |
| 0x27 | 0x2 | 0x7 | LPAREN | 0x39 | 9 |
| 0x28 | 0x2 | 0x8 | RPAREN | 0x41 | A |
| 0x29 | 0x2 | 0x9 | DIVIDE | 0x00 | NONE |
| 0x2A | 0x2 | 0xA | MULT | 0x0C | [*] |
| 0x2B | 0x2 | 0xB | MINUS | 0xC0 | tok:0xC0 |
| 0x2C | 0x2 | 0xC | PLUS | 0xC2 | tok:0xC2 |
| 0x2D | 0x2 | 0xD | key0x2D | 0xBE | tok:0xBE |
| 0x2E | 0x2 | 0xE | key0x2E | 0x37 | 7 |
| 0x2F | 0x2 | 0xF | key0x2F | 0x33 | 3 |
| 0x30 | 0x3 | 0x0 | 0 | 0x00 | NONE |
| 0x31 | 0x3 | 0x1 | 1 | 0x4A | J |
| 0x32 | 0x3 | 0x2 | 2 | 0x3B | 0x3B |
| 0x33 | 0x3 | 0x3 | 3 | 0x57 | W |
| 0x34 | 0x3 | 0x4 | 4 | 0x4B | K |
| 0x35 | 0x3 | 0x5 | 5 | 0x30 | 0 |
| 0x36 | 0x3 | 0x6 | 6 | 0x00 | NONE |
| 0x37 | 0x3 | 0x7 | 7 | 0x40 | 0x40 |
| 0x38 | 0x3 | 0x8 | 8 | 0x0B | [-] |
| 0x39 | 0x3 | 0x9 | 9 | 0x08 | 0x08 |

## ALPHA

| scancode | row | col | physical label | token byte | decoded name |
|---|---:|---:|:---|---|:---|
| 0x01 | 0x0 | 0x1 | DOWN alt | 0x02 | 0x02 |
| 0x02 | 0x0 | 0x2 | LEFT | 0x01 | 0x01 |
| 0x03 | 0x0 | 0x3 | RIGHT | 0x07 | 0x07 |
| 0x04 | 0x0 | 0x4 | UP | 0x00 | NONE |
| 0x05 | 0x0 | 0x5 | key0x05 | 0x00 | NONE |
| 0x06 | 0x0 | 0x6 | key0x06 | 0x00 | NONE |
| 0x07 | 0x0 | 0x7 | key0x07 | 0x00 | NONE |
| 0x08 | 0x0 | 0x8 | key0x08 | 0x06 | 0x06 |
| 0x09 | 0x0 | 0x9 | ENTER | 0xCB | tok:0xCB |
| 0x0A | 0x0 | 0xA | (+) | 0xB0 | tok:0xB0 |
| 0x0B | 0x0 | 0xB | (-) | 0xAB | tok:0xAB |
| 0x0C | 0x0 | 0xC | (*) | 0xA6 | tok:0xA6 |
| 0x0D | 0x0 | 0xD | (/) | 0xA1 | tok:0xA1 |
| 0x0E | 0x0 | 0xE | (^) | 0x09 | ENTER |
| 0x0F | 0x0 | 0xF | CLEAR | 0x00 | NONE |
| 0x10 | 0x1 | 0x0 | (-) | 0xCA | tok:0xCA |
| 0x11 | 0x1 | 0x1 | VARS | 0xCC | tok:0xCC |
| 0x12 | 0x1 | 0x2 | CLEAR | 0xAF | tok:0xAF |
| 0x13 | 0x1 | 0x3 | PRGM | 0xAA | tok:0xAA |
| 0x14 | 0x1 | 0x4 | STAT | 0xA5 | tok:0xA5 |
| 0x15 | 0x1 | 0x5 | X,T,theta,n | 0xA0 | tok:0xA0 |
| 0x16 | 0x1 | 0x6 | MATH | 0x35 | 5 |
| 0x17 | 0x1 | 0x7 | APPS | 0x00 | NONE |
| 0x18 | 0x1 | 0x8 | MODE | 0xC6 | tok:0xC6 |
| 0x19 | 0x1 | 0x9 | DEL | 0xB3 | tok:0xB3 |
| 0x1A | 0x1 | 0xA | 2ND | 0xAE | tok:0xAE |
| 0x1B | 0x1 | 0xB | ALPHA | 0xA9 | tok:0xA9 |
| 0x1C | 0x1 | 0xC | ON | 0xA4 | tok:0xA4 |
| 0x1D | 0x1 | 0xD | STO | 0x9F | 0x9F |
| 0x1E | 0x1 | 0xE | LN | 0x9C | 0x9C |
| 0x1F | 0x1 | 0xF | LOG | 0x31 | 1 |
| 0x20 | 0x2 | 0x0 | SQUARE | 0x99 | 0x99 |
| 0x21 | 0x2 | 0x1 | RECIP | 0xB2 | tok:0xB2 |
| 0x22 | 0x2 | 0x2 | SIN | 0xAD | tok:0xAD |
| 0x23 | 0x2 | 0x3 | COS | 0xA8 | tok:0xA8 |
| 0x24 | 0x2 | 0x4 | TAN | 0xA3 | tok:0xA3 |
| 0x25 | 0x2 | 0x5 | POWER | 0x9E | 0x9E |
| 0x26 | 0x2 | 0x6 | COMMA | 0x9B | 0x9B |
| 0x27 | 0x2 | 0x7 | LPAREN | 0x13 | 0x13 |
| 0x28 | 0x2 | 0x8 | RPAREN | 0x00 | NONE |
| 0x29 | 0x2 | 0x9 | DIVIDE | 0xB1 | tok:0xB1 |
| 0x2A | 0x2 | 0xA | MULT | 0xAC | tok:0xAC |
| 0x2B | 0x2 | 0xB | MINUS | 0xA7 | tok:0xA7 |
| 0x2C | 0x2 | 0xC | PLUS | 0xA2 | tok:0xA2 |
| 0x2D | 0x2 | 0xD | key0x2D | 0x9D | 0x9D |
| 0x2E | 0x2 | 0xE | key0x2E | 0x9A | 0x9A |
| 0x2F | 0x2 | 0xF | key0x2F | 0x00 | NONE |
| 0x30 | 0x3 | 0x0 | 0 | 0x44 | D |
| 0x31 | 0x3 | 0x1 | 1 | 0x5A | Z |
| 0x32 | 0x3 | 0x2 | 2 | 0x2E | . |
| 0x33 | 0x3 | 0x3 | 3 | 0x48 | H |
| 0x34 | 0x3 | 0x4 | 4 | 0x49 | I |
| 0x35 | 0x3 | 0x5 | 5 | 0x00 | NONE |
| 0x36 | 0x3 | 0x6 | 6 | 0x45 | E |
| 0x37 | 0x3 | 0x7 | 7 | 0x0A | [+] |
| 0x38 | 0x3 | 0x8 | 8 | 0x08 | 0x08 |
| 0x39 | 0x3 | 0x9 | 9 | 0x02 | 0x02 |

## ALPHA+2nd

| scancode | row | col | physical label | token byte | decoded name |
